MaxEStateIndex,MinEStateIndex,MinAbsEStateIndex,MolWt,FpDensityMorgan1,BalabanJ,SMR_VSA10,SMR_VSA3,SMR_VSA5,SMR_VSA6,SMR_VSA9,SlogP_VSA1,SlogP_VSA10,SlogP_VSA11,SlogP_VSA12,SlogP_VSA2,SlogP_VSA3,SlogP_VSA4,SlogP_VSA7,SlogP_VSA8,TPSA,EState_VSA10,EState_VSA2,EState_VSA3,EState_VSA8,VSA_EState2,VSA_EState3,VSA_EState4,VSA_EState5,VSA_EState8,VSA_EState9,NHOHCount,fr_aniline,fr_bicyclic,fr_ether,tg
13.02581869,-4.005665116,0.756148038,219.284,1.875,3.837573239,5.969305288,4.899909731,13.27271374,27.00749873,0,0,0,0,0,37.87671375,4.736862954,0,6.875840478,0,29.54,4.794537184,0,0,4.736862954,12.24341397,0,-1.854372717,-1.932561413,-17.62844035,0,0,0,0,1,69
12.70462376,-3.986623114,0.543176673,219.284,1.8125,3.67345919,5.969305288,4.899909731,13.27271374,27.00749873,0,0,0,0,0,37.87671375,4.736862954,0,6.875840478,0,29.54,4.794537184,0,0,4.736862954,11.92150459,0,-1.712391998,-1.945771447,-17.40056771,0,0,0,0,1,91
8.230462963,-1.643984316,0.046141975,138.597,2.111111111,3.722974656,11.60093989,0,13.27271374,0,0,0,0,0,11.60093989,0,0,0,11.89847379,0,0,0,22.67092222,0,0,0,-0.199143519,-0.046141975,0,-1.643984316,0,0,0,0,0,119
13.99956019,-1.799539872,0.478240741,122.142,2.111111111,3.722974656,0,0,13.27271374,0,0,0,4.390415048,0,0,0,0,5.817220841,6.875840478,0,0,4.390415048,0,0,0,0,0,-0.478240741,-1.171365741,-1.799539872,0,0,0,0,0,160.5
8.299074074,-2.796107332,0.310532407,118.179,2.333333333,3.905987921,0,0,20.12460586,0,0,0,0,0,0,0,0,6.851892117,6.875840478,0,0,0,5.563451492,0,0,0,0,-0.963842593,0,-4.601072373,0,0,0,0,0,75
8.219598765,-1.654848513,0.089351852,138.597,2.222222222,3.722974656,11.60093989,0,13.27271374,0,0,0,0,0,11.60093989,0,0,0,11.89847379,0,0,0,22.67092222,0,0,0,-0.257476852,-0.089351852,0,-1.654848513,0,0,0,0,0,90
13.61465797,-1.762873205,0.332407407,122.142,2.222222222,3.722974656,0,0,13.27271374,0,0,0,4.390415048,0,0,0,0,5.817220841,6.875840478,0,0,4.390415048,5.563451492,0,0,0,0,-0.332407407,-1.229699074,-1.762873205,0,0,0,0,0,86
8.27143802,-2.781469081,0.272685185,118.179,2.111111111,3.840722054,0,0,20.12460586,0,0,0,0,0,0,0,0,6.851892117,6.875840478,0,0,0,5.563451492,0,0,0,0,-0.938652683,0,-4.56025959,0,0,0,0,0,103
8.33003177,-3.191647377,0.372600151,132.206,2,3.909191847,0,0,26.49753076,0,0,0,0,0,0,0,6.372924901,0,6.875840478,0,0,0,5.563451492,0,0,0,0,-1.246900983,0,-5.050733025,0,0,0,0,0,71.4
8.38862552,-3.47810571,0.472515117,146.233,1.727272727,4.105686731,0,0,32.87045566,0,0,0,0,0,0,0,0,0,6.875840478,0,0,0,0,0,0,0,0,-1.555149282,-3.406469081,-8.895592207,0,0,0,0,0,62.4
