Porosity,Displacement,Force,Time,YM,UTS,Fstrain,StrainRate
68.6408,8.518666387,68.6408,102.2219988,1500,33,51,0.004902057
69.7541,8.849216891,69.7541,106.1849963,1500,33,51,0.00490222
69.8601,8.837841533,69.8601,106.0459969,1500,33,51,0.004902335
75.8504,6.940959569,75.8504,83.28500293,1500,33,51,0.004902344
76.0845,8.598236725,76.0845,103.1740023,1500,33,51,0.004902191
76.5528,7.73940197,76.5528,92.86700311,1500,33,51,0.004902268
80.0383,7.430530839,80.0383,89.16300073,1500,33,51,0.004902146
81.9909,4.888986969,81.9909,58.66300128,1500,33,51,0.004902365
81.9909,10.90440562,81.9909,130.8490054,1500,33,51,0.004902105
52.9442,4.679042646,52.9442,56.13899866,2200,46,48,0.004902791
58.9824,5.076834732,58.9824,60.91400018,2200,46,48,0.004902606
65.1808,6.606716509,65.1808,79.27500024,2200,46,48,0.004902307
66.9813,5.95443075,66.9813,71.44599841,2200,46,48,0.004902453
73.5592,7.963282368,73.5592,95.55399957,2200,46,48,0.004902237
78.6317,6.665798682,78.6317,79.98499988,2200,46,48,0.004902242
86.2089,4.078930136,86.2089,48.94299951,2200,46,48,0.004902378
47.5723,3.91562063,47.5723,46.97699936,2200,46,48,0.004903051
49.1577,4.038132481,49.1577,48.44700168,2200,46,48,0.004903032
55.1369,3.624081412,55.1369,43.48200098,2200,46,48,0.004902747
56.1151,4.825973775,56.1151,57.9029986,2200,46,48,0.004902696
60.4456,5.196190285,60.4456,62.34599939,2200,46,48,0.004902612
60.6311,5.498152026,60.6311,65.97000104,2200,46,48,0.004902542
64.3375,3.855883456,64.3375,46.26399866,2200,46,48,0.00490266
64.8561,2.806103448,64.8561,33.66699908,2200,46,48,0.00490287
70.5021,3.128911215,70.5021,37.54099908,2200,46,48,0.004902736
69.5281,3.033021823,69.5281,36.38999811,2200,46,48,0.004902805
73.4748,4.020205545,73.4748,48.23900095,2200,46,48,0.004902313
74.1368,3.838432612,74.1368,46.05300012,2200,46,48,0.004902833
83.679,1.456565186,83.679,17.47399965,2200,46,48,0.004903302
83.173,1.360020612,83.173,16.31400035,2200,46,48,0.004903838
48.0422,0.792427187,48.0422,9.494999558,2800,65,6.2,0.004909254
48.7013,0.791652933,48.7013,9.483999878,2800,65,6.2,0.004910146
49.4081,0.810652146,49.4081,9.713000085,2800,65,6.2,0.004909443
52.6603,0.673548204,52.6603,8.070000321,2800,65,6.2,0.004909601
55.223,0.722207596,55.223,8.652000099,2800,65,6.2,0.004910171
56.3937,0.765089762,56.3937,9.165999632,2800,65,6.2,0.004910024
60.396,0.701004757,60.396,8.397999838,2800,65,6.2,0.004910166
60.6736,0.846149052,60.6736,10.14100042,2800,65,6.2,0.004908142
60.8904,0.682362869,60.8904,8.176999718,2800,65,6.2,0.004908768
61.3197,0.849901235,61.3197,10.18500009,2800,65,6.2,0.00490861
61.7056,0.730009751,61.7056,8.747000366,2800,65,6.2,0.004909312
62.6899,0.850258571,62.6899,10.1889998,2800,65,6.2,0.004908746
67.2429,0.730724471,67.2429,8.758000161,2800,65,6.2,0.004907946
67.7155,0.868007077,67.7155,10.40500036,2800,65,6.2,0.004907183
68.7519,0.830961614,68.7519,9.961000115,2800,65,6.2,0.004907147
73.4307,0.83000865,73.4307,9.949000146,2800,65,6.2,0.004907432
74.0637,0.847995375,74.0637,10.16700044,2800,65,6.2,0.004906273
74.8573,0.846923306,74.8573,10.15399995,2800,65,6.2,0.004906344
78.1354,1.496350312,78.1354,17.94699922,2800,65,6.2,0.004904475
78.9029,1.370264692,78.9029,16.43900081,2800,65,6.2,0.004903206
79.4189,2.588654947,79.4189,31.05900009,2800,65,6.2,0.004902728
